,title,price,link
0,"Acer Aspire Lite 12th Gen Intel Core i3-1215U Premium Metal Laptop (Windows 11 Home/8 GB RAM/512GB SSD) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 Kg  ","30,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToyMzY3NDE3MzgxNTM3MzM2OjE3MjI5NTIwMzI6c3BfYXRmOjMwMDE2NzY5OTM2MDMzMjo6MDo6&url=%2FAcer-i3-1215U-Premium-Windows-AL15-52%2Fdp%2FB0CKLN7PSZ%2Fref%3Dsr_1_1_sspa%3Fcrid%3D38NAIC5XOXF0C%26dib%3DeyJ2IjoiMSJ9._jZ9QFBb28xPE7lCy_IPG9wjiWrQxbOGQ0V19PNGL0b0iSnT3sIhGFJ6z7bbMS3q7wMqPg42avUD3AYQ_zVWKdvoyEwecl1xk66o0ARexuMWiCFo9cx7NHAj9qzJ07FZpCXK7nu8wdPiuQALY9V1iNSGjoGZBZMWbSApYKs1RuujeF-uGgRTPUZ09NxuzKE_r7exVmG53PJDBp2cwfJ839K0U3PHDzhWt8cXyCVG0so.rT613-TCo2dSfNB4sTdOqdEDuXiq6NBb2uVYCIZO9bg%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1722952032%26sprefix%3Dlaptop%252Caps%252C202%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
1,"Acer Aspire Lite 13th Gen Intel
                                        Core i3-1305U Thin and Light Premium Laptop (Windows 11 Home/8 GB RAM/512GB
                                        SSD/36 WHR) AL15-53 with 39.62cm (15.6"") Full HD Display, Metal Body, Steel
                                        Gray, 1.59 KG  ","32,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToyMzY3NDE3MzgxNTM3MzM2OjE3MjI5NTIwMzI6c3BfYXRmOjMwMDI4MDI5ODgxNTIzMjo6MDo6&url=%2FAcer-i3-1305U-Premium-Windows-AL15-53%2Fdp%2FB0DB1SDB87%2Fref%3Dsr_1_2_sspa%3Fcrid%3D38NAIC5XOXF0C%26dib%3DeyJ2IjoiMSJ9._jZ9QFBb28xPE7lCy_IPG9wjiWrQxbOGQ0V19PNGL0b0iSnT3sIhGFJ6z7bbMS3q7wMqPg42avUD3AYQ_zVWKdvoyEwecl1xk66o0ARexuMWiCFo9cx7NHAj9qzJ07FZpCXK7nu8wdPiuQALY9V1iNSGjoGZBZMWbSApYKs1RuujeF-uGgRTPUZ09NxuzKE_r7exVmG53PJDBp2cwfJ839K0U3PHDzhWt8cXyCVG0so.rT613-TCo2dSfNB4sTdOqdEDuXiq6NBb2uVYCIZO9bg%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1722952032%26sprefix%3Dlaptop%252Caps%252C202%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
2,"ASUS VivoBook 15 (2021) Thin and Light Laptop, Dual Core Intel Celeron N4020, 15.6-inch (39.62 cm) HD, (4GB RAM/256GB SSD/Integrated Graphics/Windows 11 Home/Transparent Silver/1.8 Kg), X515MA-BR011W  ","19,990",https://amazon.in//ASUS-15-6-inch-Integrated-Transparent-X515MA-BR011W/dp/B09SGGB687/ref=sr_1_6?crid=38NAIC5XOXF0C&dib=eyJ2IjoiMSJ9._jZ9QFBb28xPE7lCy_IPG9wjiWrQxbOGQ0V19PNGL0b0iSnT3sIhGFJ6z7bbMS3q7wMqPg42avUD3AYQ_zVWKdvoyEwecl1xk66o0ARexuMWiCFo9cx7NHAj9qzJ07FZpCXK7nu8wdPiuQALY9V1iNSGjoGZBZMWbSApYKs1RuujeF-uGgRTPUZ09NxuzKE_r7exVmG53PJDBp2cwfJ839K0U3PHDzhWt8cXyCVG0so.rT613-TCo2dSfNB4sTdOqdEDuXiq6NBb2uVYCIZO9bg&dib_tag=se&keywords=laptop&qid=1722952032&sprefix=laptop%2Caps%2C202&sr=8-6
3,"ASUS Vivobook Go 14 (2023), 14"" (35.56 cm) FHD (1920 x 1080) 16:9, Intel Celeron N4500, Thin and Light Laptop (8GB RAM/256GB SSD/Integrated Graphics/Windows 11 Home/Black/1.3 Kg), E410KA-EK013W  ","22,888",https://amazon.in//ASUS-Vivobook-35-56-1920-1080/dp/B0CZXM6V2X/ref=sr_1_63?crid=38NAIC5XOXF0C&dib=eyJ2IjoiMSJ9.q0O0zEQU1uVZPIIYz_o3QyEzENgAF9WxEGLuyA0k1froU5kzlgRVFMonfEvr9vrkHs2iGLwfeEodshbgkjHvsbv2hFuX5RyM9hqKT8gkoWlmHFwMHjnHE1ZtJH_X3G22CYV32jUCvJr31RyBUELZn8s3KuCwlLt49kpqpAmx7gpyhXlZzjTJ7tiznJpMt1jhIxLDGw3P1uxQ_7CRyvhyBcCZRNl1esVI5Jn5xHASIAQ.gs2OXxhD-6uAqFxegolVtbTaYnPvqzPgNmz-20-XCzM&dib_tag=se&keywords=laptop&qid=1722952048&sprefix=laptop%2Caps%2C202&sr=8-63
4,"(Refurbished) Lenovo ThinkPad L480 8th Gen Intel Core i5 Thin & Light HD Laptop (16 GB DDR4 RAM/512 GB SSD/14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Bluetooth/Webcam/Intel Graphics)  ","20,298",https://amazon.in//Refurbished-Lenovo-ThinkPad-Bluetooth-Graphics/dp/B0CM21TQ3W/ref=sr_1_64?crid=38NAIC5XOXF0C&dib=eyJ2IjoiMSJ9.q0O0zEQU1uVZPIIYz_o3QyEzENgAF9WxEGLuyA0k1froU5kzlgRVFMonfEvr9vrkHs2iGLwfeEodshbgkjHvsbv2hFuX5RyM9hqKT8gkoWlmHFwMHjnHE1ZtJH_X3G22CYV32jUCvJr31RyBUELZn8s3KuCwlLt49kpqpAmx7gpyhXlZzjTJ7tiznJpMt1jhIxLDGw3P1uxQ_7CRyvhyBcCZRNl1esVI5Jn5xHASIAQ.gs2OXxhD-6uAqFxegolVtbTaYnPvqzPgNmz-20-XCzM&dib_tag=se&keywords=laptop&qid=1722952048&sprefix=laptop%2Caps%2C202&sr=8-64
5,"ASUS TUF Gaming A15, AMD Ryzen 7 7435HS, 15.6-inch FHD 144Hz, Gaming Laptop (16GB/512GB SSD/NVIDIA GeForce RTX 3050/Windows 11/48WHr/Graphite Black/2.3 Kg), FA506NCR-HN054W  ","67,990",https://amazon.in//ASUS-15-6-inch-GeForce-Graphite-FA506NCR-HN054W/dp/B0D5DFR78J/ref=sr_1_65?crid=38NAIC5XOXF0C&dib=eyJ2IjoiMSJ9.q0O0zEQU1uVZPIIYz_o3QyEzENgAF9WxEGLuyA0k1froU5kzlgRVFMonfEvr9vrkHs2iGLwfeEodshbgkjHvsbv2hFuX5RyM9hqKT8gkoWlmHFwMHjnHE1ZtJH_X3G22CYV32jUCvJr31RyBUELZn8s3KuCwlLt49kpqpAmx7gpyhXlZzjTJ7tiznJpMt1jhIxLDGw3P1uxQ_7CRyvhyBcCZRNl1esVI5Jn5xHASIAQ.gs2OXxhD-6uAqFxegolVtbTaYnPvqzPgNmz-20-XCzM&dib_tag=se&keywords=laptop&qid=1722952048&sprefix=laptop%2Caps%2C202&sr=8-65
6,"Dell [Smartchoice] G15-5530 Gaming Laptop, Intel Core i5-13450HX, 16GB DDR5, 1TB, NVIDIA RTX 3050,6GB GDDR6,15.6"" (39.62cm) FHD 120Hz 250 nits,Backlit KB Orange,Win 11 + MSO'21,Dark Shadow Gray,2.65kg  ","74,990",https://amazon.in//Dell-Smartchoice-G15-5530-Gaming-i5-13450HX/dp/B0CRKXDX83/ref=sr_1_66?crid=38NAIC5XOXF0C&dib=eyJ2IjoiMSJ9.q0O0zEQU1uVZPIIYz_o3QyEzENgAF9WxEGLuyA0k1froU5kzlgRVFMonfEvr9vrkHs2iGLwfeEodshbgkjHvsbv2hFuX5RyM9hqKT8gkoWlmHFwMHjnHE1ZtJH_X3G22CYV32jUCvJr31RyBUELZn8s3KuCwlLt49kpqpAmx7gpyhXlZzjTJ7tiznJpMt1jhIxLDGw3P1uxQ_7CRyvhyBcCZRNl1esVI5Jn5xHASIAQ.gs2OXxhD-6uAqFxegolVtbTaYnPvqzPgNmz-20-XCzM&dib_tag=se&keywords=laptop&qid=1722952048&sprefix=laptop%2Caps%2C202&sr=8-66
7,"MSI Thin 15, Intel Core i7-12650H, 40CM FHD 144Hz Gaming Laptop(16GB/1TB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 2050,GDDR6 4GB /Cosmos Gray/1.86Kg), B12UCX-1693IN  ","61,990",https://amazon.in//MSI-i7-12650H-Windows-GeForce-B12UCX-1693IN/dp/B0CV8RGCPH/ref=sr_1_67?crid=38NAIC5XOXF0C&dib=eyJ2IjoiMSJ9.q0O0zEQU1uVZPIIYz_o3QyEzENgAF9WxEGLuyA0k1froU5kzlgRVFMonfEvr9vrkHs2iGLwfeEodshbgkjHvsbv2hFuX5RyM9hqKT8gkoWlmHFwMHjnHE1ZtJH_X3G22CYV32jUCvJr31RyBUELZn8s3KuCwlLt49kpqpAmx7gpyhXlZzjTJ7tiznJpMt1jhIxLDGw3P1uxQ_7CRyvhyBcCZRNl1esVI5Jn5xHASIAQ.gs2OXxhD-6uAqFxegolVtbTaYnPvqzPgNmz-20-XCzM&dib_tag=se&keywords=laptop&qid=1722952048&sprefix=laptop%2Caps%2C202&sr=8-67
8,"(Refurbished) Lenovo ThinkPad 8th Gen Intel Core i5 Thin & Light HD Laptop (8 GB DDR4 RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel Graphics)  ","17,799",https://amazon.in//Refurbished-Lenovo-ThinkPad-Windows-Graphics/dp/B0CR49QPM9/ref=sr_1_68?crid=38NAIC5XOXF0C&dib=eyJ2IjoiMSJ9.q0O0zEQU1uVZPIIYz_o3QyEzENgAF9WxEGLuyA0k1froU5kzlgRVFMonfEvr9vrkHs2iGLwfeEodshbgkjHvsbv2hFuX5RyM9hqKT8gkoWlmHFwMHjnHE1ZtJH_X3G22CYV32jUCvJr31RyBUELZn8s3KuCwlLt49kpqpAmx7gpyhXlZzjTJ7tiznJpMt1jhIxLDGw3P1uxQ_7CRyvhyBcCZRNl1esVI5Jn5xHASIAQ.gs2OXxhD-6uAqFxegolVtbTaYnPvqzPgNmz-20-XCzM&dib_tag=se&keywords=laptop&qid=1722952048&sprefix=laptop%2Caps%2C202&sr=8-68
9,"HP Laptop 15s, AMD Ryzen 3 5300U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, AMD Radeon Graphics, Thin & Light, Dual Speakers (Win 11, MSO 2019, Silver, 1.69 kg), eq2143AU  ","29,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToxNDE1NTg5ODU2ODYwNTg3OjE3MjI5NTIwNDg6c3BfYnRmOjMwMDI0MTc3OTU4NDAzMjo6MDo6&url=%2FHP-15-6inch-Micro-Edge-Anti-Glare-15s-Eq2143au%2Fdp%2FB09R1MMMTH%2Fref%3Dsr_1_69_sspa%3Fcrid%3D38NAIC5XOXF0C%26dib%3DeyJ2IjoiMSJ9.q0O0zEQU1uVZPIIYz_o3QyEzENgAF9WxEGLuyA0k1froU5kzlgRVFMonfEvr9vrkHs2iGLwfeEodshbgkjHvsbv2hFuX5RyM9hqKT8gkoWlmHFwMHjnHE1ZtJH_X3G22CYV32jUCvJr31RyBUELZn8s3KuCwlLt49kpqpAmx7gpyhXlZzjTJ7tiznJpMt1jhIxLDGw3P1uxQ_7CRyvhyBcCZRNl1esVI5Jn5xHASIAQ.gs2OXxhD-6uAqFxegolVtbTaYnPvqzPgNmz-20-XCzM%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1722952048%26sprefix%3Dlaptop%252Caps%252C202%26sr%3D8-69-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
